1000 3
3.529576689445715343e-01 -6.943052301592692821e+00 -3.529576689445715343e-01
3.597489245702579774e-01 -6.872539566325955640e+00 -3.597489245702579774e-01
3.665873704498223140e-01 -6.802718725816994549e+00 -3.665873704498223140e-01
3.734713859247241752e-01 -6.733585133131881229e+00 -3.734713859247241752e-01
3.803993116006443853e-01 -6.665134039188080450e+00 -3.803993116006443853e-01
3.873694499025573390e-01 -6.597360599264233905e+00 -3.873694499025573390e-01
3.943800656534013904e-01 -6.530259879335575057e+00 -3.943800656534013349e-01
4.014293866759151563e-01 -6.463826862236438764e+00 -4.014293866759152118e-01
4.085156044172520984e-01 -6.398056453652150033e+00 -4.085156044172520984e-01
4.156368745959141409e-01 -6.332943487942125138e+00 -4.156368745959141409e-01
4.227913178705902664e-01 -6.268482733796420625e+00 -4.227913178705902664e-01
4.299770205304193627e-01 -6.204668899727766807e+00 -4.299770205304192516e-01
4.371920352062344528e-01 -6.141496639401393232e+00 -4.371920352062345083e-01
4.444343816022864324e-01 -6.078960556804703153e+00 -4.444343816022863769e-01
4.517020472479813531e-01 -6.017055211259282999e+00 -4.517020472479812421e-01
4.589929882691086704e-01 -5.955775122277309208e+00 -4.589929882691086704e-01
4.663051301780742341e-01 -5.895114774264928137e+00 -4.663051301780742897e-01
4.736363686825940666e-01 -5.835068621074737116e+00 -4.736363686825940666e-01
4.809845705123438897e-01 -5.775631090409981461e+00 -4.809845705123438897e-01
4.883475742630057903e-01 -5.716796588082645236e+00 -4.883475742630057903e-01
4.957231912571883337e-01 -5.658559502128098551e+00 -4.957231912571883337e-01
5.031092064216431403e-01 -5.600914206778530691e+00 -5.031092064216431403e-01
5.105033791802439103e-01 -5.543855066297814105e+00 -5.105033791802439103e-01
5.179034443621326478e-01 -5.487376438680112045e+00 -5.179034443621326478e-01
5.253071131244905212e-01 -5.431472679214855326e+00 -5.253071131244905212e-01
5.327120738893204033e-01 -5.376138143920419665e+00 -5.327120738893202923e-01
5.401159932936916430e-01 -5.321367192849162819e+00 -5.401159932936916430e-01
5.475165171528229013e-01 -5.267154193266129880e+00 -5.475165171528229013e-01
